Evsahibi,Deplasman,EVG,DEPG,MS,İEG,İDG,İS,ES,DS,EKS,DKS,EF,DF,EK,DK,ESK,DSK,EKK,DKK
Konyaspor,Alanyaspor,2,0,1,0,0,3,9,8,4,2,10,10,2,3,3,2,0,1
Rizespor,Ankaragucu,1,1,3,0,1,2,21,10,6,4,12,6,7,2,3,2,0,0
Antalyaspor,Goztep,1,0,1,1,0,1,8,15,4,3,17,17,6,4,1,1,0,0
Buyuksehyr,Sivasspor,0,1,2,0,1,2,16,9,2,1,8,15,6,0,3,3,0,0
Kayserispor,Trabzonspor,0,2,2,0,0,3,7,18,2,7,15,16,2,5,5,1,0,0
Besiktas,Galatasaray,1,0,1,1,0,1,14,10,5,2,21,14,6,5,4,4,0,0
Bursaspor,Erzurum BB,2,1,1,1,1,3,13,8,4,2,19,13,2,3,2,1,0,0
Fenerbahce,Kasimpasa,2,2,3,2,1,1,21,16,3,3,11,19,8,2,3,1,0,0
Yeni Malatyaspor,Akhisar Belediyespor,1,1,3,1,0,1,9,7,3,3,16,13,0,0,4,3,0,0
Alanyaspor,Besiktas,0,0,3,0,0,3,13,9,3,3,15,16,7,10,3,2,0,0
Galatasaray,Rizespor,2,2,3,1,0,1,20,18,8,8,11,12,8,4,2,1,0,0
Sivasspor,Goztep,2,0,1,0,0,3,15,7,6,1,13,13,7,3,3,4,0,1
Trabzonspor,Konyaspor,3,0,1,0,0,3,18,7,6,2,13,13,5,2,2,3,0,0
Akhisar Belediyespor,Fenerbahce,3,0,1,1,0,1,12,16,4,4,13,7,2,7,2,1,0,0
Bursaspor,Antalyaspor,0,2,2,0,2,2,13,6,4,3,21,11,9,0,4,1,0,0
Erzurum BB,Yeni Malatyaspor,1,3,2,1,0,1,15,9,5,5,10,15,9,4,0,3,0,0
Ankaragucu,Buyuksehyr,0,1,2,0,1,2,8,15,1,8,10,14,0,7,0,1,0,0
Kasimpasa,Kayserispor,0,3,2,0,1,2,25,17,5,10,13,15,11,3,3,2,0,0
Goztep,Bursaspor,0,0,3,0,0,3,8,6,2,3,15,13,3,6,1,3,0,0
Buyuksehyr,Galatasaray,1,1,3,1,1,3,17,9,5,4,12,13,7,2,4,2,0,0
